Period,Background Characteristic,Particulars of the Background Characteristic,Percent women aged 15 -19 who have had a live birth,Percent women aged 15 -19 who are pregnant with first child,"Percentagewho havebegunchildbearing",Number of Women
UDHS 2016,Age,15,1.6,1.6,3.1,871
UDHS 2016,Age,16,5.5,3.8,9.4,966
UDHS 2016,Age,17,15,7,22.1,792
UDHS 2016,Age,18,33,7.2,40.2,851
UDHS 2016,Age,19,45.8,8,53.9,785
UDHS 2016,Residence,Urban  ,14.7,4,18.8,"1,034"
UDHS 2016,Residence ,Rural  ,20.9,5.8,26.7,"3,230"
UDHS 2016,Region,South Central  ,15.4,4.2,19.6,514
UDHS 2016,Region,North Central  ,23.6,6.7,30.3,418
UDHS 2016,Region,Kampala  ,14.8,2,16.8,200
UDHS 2016,Region,Busoga  ,15.6,5.1,20.7,389
UDHS 2016,Region,Bukedi  ,22,7.5,29.5,326
UDHS 2016,Region,Bugisu  ,23.4,4.8,28.2,236
UDHS 2016,Region,Teso  ,26.2,5.2,31.4,296
UDHS 2016,Region,Karamoja  ,16.5,7.1,23.6,80
UDHS 2016,Region,Lango  ,22.4,5.5,27.9,254
UDHS 2016,Region,Acholi  ,19.1,4.7,23.8,246
UDHS 2016,Region,West Nile  ,19.3,3,22.4,321
UDHS 2016,Region,Bunyoro  ,21.8,7.1,29,251
UDHS 2016,Region,Tooro  ,22.4,7.9,30.3,296
UDHS 2016,Region,Kigezi  ,8.8,6.7,15.5,162
UDHS 2016,Region,Ankole  ,14.1,4.8,18.9,273
UDHS 2016,Special Areas,"Islands includes islands and shoreline areas in Kalangala,Mayuge, Buvuma, Namayingo, Rakai, Mukono and Wakiso districts)  ",39.2,9.1,48.3,38
UDHS 2016,Special Areas,"Mountains ( includes Bundibugyo, Kasese, Ntoroko, Bukwo,Bulambuli, Kapchorwa, Kween, Kisoro, Sironko, Mbale and Kaabong districts)",20.1,4.2,24.3,367
UDHS 2016,Special Areas,"Greater Kampala ( includes Kampala district and urban areas in Mukono and Wakisodistricts)",13.1,3.6,16.7,395
UDHS 2016,Education,No education  ,29.8,4.8,34.6,76
UDHS 2016,Education,Primary  ,22.3,6.4,28.7,"2,759"
UDHS 2016,Education,Secondary  ,13.5,3.5,17,"1,351"
UDHS 2016,Education,More than secondary ,6.7,4.3,11,78
UDHS 2016,Wealth Quintile,Lowest  ,26.7,6.8,33.5,764
UDHS 2016,Wealth Quintile,Second  ,25.8,6,31.9,840
UDHS 2016,Wealth Quintile,Middle  ,17.6,7,24.6,815
UDHS 2016,Wealth Quintile,Fourth  ,16.5,5,21.5,854
UDHS 2016,Wealth Quintile,Highest  ,12.2,2.9,15.1,990
UDHS 2016,All women aged 15-19,All women aged 15-19,19.4,5.4,24.8,"4,264"
